,0
GCF_000007545:GEGEGB_00168,160
GCF_000007545:GEGEGB_00169,161
GCF_000007545:GEGEGB_00170,162
GCF_000007545:GEGEGB_00172,163
GCF_000007545:GEGEGB_00173,164
GCF_000007545:GEGEGB_00174,165
GCF_000007545:GEGEGB_00175,166
GCF_000007545:GEGEGB_00176,167
GCF_000007545:GEGEGB_00177,168
GCF_000007545:GEGEGB_00178,169
GCF_000007545:GEGEGB_00179,170
GCF_000007545:GEGEGB_00180,171
GCF_000007545:GEGEGB_00181,172
GCF_000007545:GEGEGB_00182,173
GCF_000007545:GEGEGB_00183,174
GCF_000007545:GEGEGB_00184,175
GCF_000007545:GEGEGB_00185,176
GCF_000007545:GEGEGB_00186,177
GCF_000007545:GEGEGB_00187,178
GCF_000007545:GEGEGB_00188,179
GCF_000007545:GEGEGB_00189,180
GCF_000007545:GEGEGB_00190,181
GCF_000007545:GEGEGB_00191,182
GCF_000007545:GEGEGB_00192,183
GCF_000007545:GEGEGB_00193,184
GCF_000007545:GEGEGB_00194,185
GCF_000007545:GEGEGB_00195,186
GCF_000007545:GEGEGB_00196,187
GCF_000007545:GEGEGB_00197,188
GCF_000007545:GEGEGB_00198,189
GCF_000007545:GEGEGB_00199,190
GCF_000007545:GEGEGB_00200,191
GCF_000007545:GEGEGB_00201,192
GCF_000007545:GEGEGB_00202,193
GCF_000007545:GEGEGB_00203,194
GCF_000007545:GEGEGB_00204,195
GCF_000007545:GEGEGB_00205,196
GCF_000007545:GEGEGB_00206,197
GCF_000007545:GEGEGB_00207,198
GCF_000007545:GEGEGB_00208,199
GCF_000007545:GEGEGB_00209,200
GCF_000007545:GEGEGB_00210,201
GCF_000007545:GEGEGB_00211,202
GCF_000007545:GEGEGB_00212,203
GCF_000007545:GEGEGB_00213,204
GCF_000007545:GEGEGB_00214,205
GCF_000007545:GEGEGB_00215,206
GCF_000007545:GEGEGB_00216,207
GCF_000007545:GEGEGB_00217,208
GCF_000007545:GEGEGB_00218,209
GCF_000007545:GEGEGB_00219,210
GCF_000007545:GEGEGB_00220,211
GCF_000007545:GEGEGB_00221,212
GCF_000007545:GEGEGB_00222,213
GCF_000007545:GEGEGB_00223,214
GCF_000007545:GEGEGB_00224,215
GCF_000007545:GEGEGB_00225,216
GCF_000007545:GEGEGB_00226,217
GCF_000007545:GEGEGB_00227,218
GCF_000007545:GEGEGB_00228,219
GCF_000007545:GEGEGB_00229,220
GCF_000007545:GEGEGB_00231,221
GCF_000007545:GEGEGB_00233,222
GCF_000007545:GEGEGB_00234,223
GCF_000007545:GEGEGB_00235,224
GCF_000007545:GEGEGB_00236,225
GCF_000007545:GEGEGB_00237,226
GCF_000007545:GEGEGB_00238,227
GCF_000007545:GEGEGB_00239,228
GCF_000007545:GEGEGB_00240,229
GCF_000007545:GEGEGB_00241,230
GCF_000007545:GEGEGB_00242,231
GCF_000007545:GEGEGB_00243,232
GCF_000007545:GEGEGB_00244,233
GCF_000007545:GEGEGB_00245,234
GCF_000007545:GEGEGB_00246,235
GCF_000007545:GEGEGB_00247,236
GCF_000007545:GEGEGB_00248,237
GCF_000007545:GEGEGB_00250,238
GCF_000007545:GEGEGB_00251,239
GCF_000007545:GEGEGB_00252,240
GCF_000007545:GEGEGB_00253,241
GCF_000007545:GEGEGB_00254,242
GCF_000007545:GEGEGB_00255,243
GCF_000007545:GEGEGB_00256,244
GCF_000007545:GEGEGB_00257,245
GCF_000007545:GEGEGB_00258,246
GCF_000007545:GEGEGB_00259,247
GCF_000007545:GEGEGB_00260,248
GCF_000007545:GEGEGB_00261,249
GCF_000007545:GEGEGB_00262,250
GCF_000007545:GEGEGB_00264,251
GCF_000007545:GEGEGB_00265,252
GCF_000007545:GEGEGB_00266,253
GCF_000007545:GEGEGB_00267,254
GCF_000007545:GEGEGB_00268,255
GCF_000007545:GEGEGB_00269,256
